"","bioguide_id","icpsr_id"
"1250","D000456",2691
"1251","D000462",10718
"1252","D000466",14874
"1253","D000467",2700
"1254","D000471",14214
"1255","D000474",2706
"1256","D000481",2713
"1257","D000499",13013
"1258","D000558",13014
"1259","D000523",2752
"1260","D000537",10582
"1261","D000548",14814
"1262","D000566",14703
"1263","D000571",2791
"1264","D000574",14310
"1265","D000575",10515
"1266","D000585",2803
"1267","D000586",14815
"1268","D000587",2804
"1269","D000588",10720
"1270","D000592",14816
"1271","D000593",14817
"1272","E000004",12104
"1273","E000013",14216
"1274","E000017",14903
"1275","E000018",2822
"1276","E000031",14818
"1277","E000033",15097
"1278","E000035",11013
"1279","E000043",14217
"1280","E000054",2854
"1281","E000055",10803
"1282","E000067",10787
"1283","E000068",13104
"1284","E000077",14415
"1285","E000064",10583
"1286","E000096",11014
"1287","E000112",2901
"1288","E000120",2909
"1289","E000121",2910
"1290","E000148",10516
"1291","E000174",14819
"1292","E000175",14218
"1293","E000181",2965
"1294","E000184",14219
"1295","E000186",29304
"1296","E000198",14623
"1297","E000201",15022
"1298","E000204",10722
"1299","E000208",14416
"1300","E000211",2987
"1301","E000213",11015
"1302","E000214",11016
"1303","E000218",15411
"1304","E000233",14418
"1305","E000236",14916
"1306","E000240",10723
"1307","E000254",NA
"1308","E000258",14417
"1309","E000266",3028
"1310","E000273",3034
"1311","E000284",14704
"1312","F000437",49304
"1313","F000012",3054
"1314","F000013",10804
"1315","F000015",3056
"1316","F000023",10724
"1317","F000025",10725
"1318","F000040",14285
"1319","F000041",3078
"1320","F000046",NA
"1321","F000049",15098
"1322","F000053",14624
"1323","F000059",15024
"1324","F000060",3092
"1325","F000075",3105
"1326","F000078",14221
"1327","F000087",NA
"1328","F000088",14625
"1329","F000102",14821
"1330","F000110",29354
"1331","F000111",14822
"1332","F000123",10517
"1333","F000128",29391
"1334","F000135",10518
"1335","F000137",3158
"1336","F000151",14215
"1337","F000152",3171
"1338","F000161",14222
"1339","F000184",15412
"1340","F000187",29515
"1341","F000208",14419
"1342","F000209",3224
"1343","F000215",14223
"1344","F000218",12014
"1345","F000227",3240
"1346","F000229",3242
"1347","F000233",3246
"1348","F000235",14823
"1349","F000237",3249
"1350","F000239",10726
"1351","F000245",3255
"1352","F000255",3264
"1353","F000260",3268
"1354","F000268",14302
"1355","F000270",10727
"1356","F000272",10584
"1357","F000283",3286
"1358","F000286",12046
"1359","F000319",3321
